2026-06-27 17:56:12,792 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:16,477 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:17,654 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:18,389 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:19,090 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:19,772 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:20,423 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:20,974 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:56:27,926 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:58:01,485 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:58:02,578 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:58:05,079 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:58:06,014 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:58:07,464 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 17:58:07,980 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:43,754 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:45,446 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:46,063 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:46,730 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:47,396 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:47,995 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:48,546 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:49,181 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:03:49,862 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:05:54,130 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:05:56,075 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:05:56,798 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:05:57,446 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:05:58,046 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:05:58,762 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:06:00,129 | INFO     | socverse.app | SOCVerse v0.1.0 started
2026-06-27 18:13:01,618 | INFO     | socverse.packet-engine | packet pkt-83e529 delivered via ['RTR', 'FW', 'SRV']
2026-06-27 18:13:01,618 | INFO     | socverse.packet-engine | packet pkt-febb3a blocked via ['RTR', 'FW']
2026-06-27 18:27:45,640 | INFO     | socverse.packet-engine | packet pkt-a7da90 delivered via ['WS-HR-01', 'ACCESS-SW', 'CORE-RTR', 'PERIM-NGFW', 'DC-SRV']
2026-06-27 18:27:45,640 | INFO     | socverse.packet-engine | packet pkt-8f80b1 blocked via ['WS-HR-01', 'ACCESS-SW', 'CORE-RTR', 'PERIM-NGFW']
2026-06-27 18:27:45,640 | INFO     | socverse.packet-engine | packet pkt-53efd7 blocked via ['DMZ-WAF']
2026-06-27 18:29:24,953 | INFO     | socverse.packet-engine | packet pkt-09f53d delivered via ['WS-HR-01', 'ACCESS-SW', 'CORE-RTR', 'PERIM-NGFW', 'DC-SRV']
2026-06-27 18:29:24,954 | INFO     | socverse.packet-engine | packet pkt-4ec01c blocked via ['WS-HR-01', 'ACCESS-SW', 'CORE-RTR', 'PERIM-NGFW']
2026-06-27 18:29:24,954 | INFO     | socverse.packet-engine | packet pkt-a601ed blocked via ['DMZ-WAF']
2026-06-27 18:38:12,419 | INFO     | socverse.packet-engine | packet pkt-3526fb delivered via ['WS-HR-01', 'ACCESS-HR', 'CORE-SW', 'CORE-NGFW', 'ACCESS-SRV', 'AD-DC-01']
2026-06-27 18:38:12,419 | INFO     | socverse.packet-engine | packet pkt-375b1f blocked via ['GUEST-01', 'ACCESS-GUEST', 'CORE-SW', 'CORE-NGFW']
2026-06-27 18:38:12,419 | INFO     | socverse.packet-engine | packet pkt-dcfb0f blocked via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW']
2026-06-27 18:38:12,420 | INFO     | socverse.packet-engine | packet pkt-5d180a delivered via ['WS-IT-01', 'ACCESS-IT', 'CORE-SW', 'CORE-NGFW', 'PERIM-NGFW', 'EDGE-RTR', 'ISP-EDGE', 'INTERNET', 'EXT-SVC']
2026-06-27 18:58:09,827 | INFO     | socverse.packet-engine | packet pkt-a8b586 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,827 | INFO     | socverse.packet-engine | packet pkt-a11d74 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,827 | INFO     | socverse.packet-engine | packet pkt-082e0e dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,827 | INFO     | socverse.packet-engine | packet pkt-ada303 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,828 | INFO     | socverse.packet-engine | packet pkt-25513a dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,828 | INFO     | socverse.packet-engine | packet pkt-275fee delivered via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,828 | INFO     | socverse.packet-engine | packet pkt-6fd6c9 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,828 | INFO     | socverse.packet-engine | packet pkt-e128d0 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,829 | INFO     | socverse.packet-engine | packet pkt-194179 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,829 | INFO     | socverse.packet-engine | packet pkt-65505b dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,829 | INFO     | socverse.packet-engine | packet pkt-aa6d83 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,829 | INFO     | socverse.packet-engine | packet pkt-ec1a5c delivered via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,829 | INFO     | socverse.packet-engine | packet pkt-c78535 dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,830 | INFO     | socverse.packet-engine | packet pkt-eeac9c dropped via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW', 'DMZ-WAF', 'DMZ-SW', 'WEB-01']
2026-06-27 18:58:09,830 | INFO     | socverse.packet-engine | packet pkt-b3586e blocked via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW']
2026-06-27 18:58:09,830 | INFO     | socverse.packet-engine | packet pkt-563857 blocked via ['ATTACKER', 'INTERNET', 'ISP-EDGE', 'EDGE-RTR', 'PERIM-NGFW']
